Order_ID,Order_Date,Customer_Name,Product,Category,Quantity,Sales,Profit,Region
106666,2025-01-01,Customer_1392,Jacket,Clothing,4,9528.47,1143.51,Kolhapur
104191,2025-01-01,Customer_1996,Smartphone,Electronics,2,49742.26,5815.37,Nagpur
106604,2025-01-01,Unknown Customer,Jacket,Clothing,4,11554.74,1141.93,Mumbai
101028,2025-01-01,Customer_1279,Table,Furniture,7,62770.87,10818.33,Nashik
100446,2025-01-01,Customer_1872,Cabinet,Furniture,7,60578.38,5271.13,Kolhapur
100991,2025-01-01,Customer_1285,Bookshelf,Furniture,4,20679.89,3421.09,Nashik
106552,2025-01-01,Customer_0563,Lamp,Home,6,7858.14,690.07,Aurangabad
103580,2025-01-01,Customer_1446,Cookware,Home,3,5914.19,1078.18,Kolhapur
101987,2025-01-01,Customer_0539,Vacuum Cleaner,Home,7,45673.19,7678.55,Pune
108082,2025-01-01,Customer_0276,Shoes,Clothing,7,18223.16,2484.41,Kolhapur
100677,2025-01-01,Customer_0953,Laptop,Electronics,1,56749.25,4218.8,Kolhapur
106852,2025-01-01,Customer_1415,Table,Furniture,5,49960.38,7784.79,Mumbai
105184,2025-01-01,Customer_2243,Laptop,Electronics,4,238131.75,39883.17,Nashik
106355,2025-01-01,Customer_2327,Tablet,Electronics,4,80610.98,13982.93,Nashik
108503,2025-01-01,Customer_1219,Lamp,Home,3,4137.79,600.46,Kolhapur
103275,2025-01-01,Customer_0740,Lamp,Home,4,5439.61,474.08,Nagpur
106030,2025-01-01,Customer_0936,Laptop,Electronics,8,461297.96,72558.14,Nashik
107393,2025-01-01,Customer_1638,Jacket,Clothing,1,2677.03,187.89,Kolhapur
102070,2025-01-01,Customer_0920,Cookware,Home,4,9064.58,1960.81,Pune
102010,2025-01-01,Customer_0791,Laptop,Electronics,5,226559.03,47564.53,Aurangabad
106023,2025-01-01,Customer_0876,Bookshelf,Furniture,2,10975.52,2114.08,Mumbai
103071,2025-01-01,Customer_1668,Bookshelf,Furniture,6,33810.85,4574.16,Mumbai
109684,2025-01-01,Customer_1169,Bookshelf,Furniture,1,6074.39,1227.5,Kolhapur
109633,2025-01-01,Customer_2011,Headphones,Electronics,4,8569.68,858.77,Nashik
106183,2025-01-01,Customer_1201,Headphones,Electronics,3,7658.78,1333.13,Nagpur
100755,2025-01-01,Customer_0105,Lamp,Home,3,3927.29,470.43,Aurangabad
101164,2025-01-01,Customer_1368,Bedsheet,Home,1,1683.82,237.13,Nashik
106793,2025-01-02,Customer_1127,T-Shirt,Clothing,4,2887.3,493.69,Kolhapur
105154,2025-01-02,Customer_1043,Shoes,Clothing,8,6584.93,3253.9,Nagpur
108484,2025-01-02,Customer_2130,Bedsheet,Home,2,4118.76,531.18,Kolhapur
107133,2025-01-02,Customer_1194,Cookware,Home,4,9642.91,1810.26,Nagpur
105356,2025-01-02,Customer_0755,T-Shirt,Clothing,5,3107.95,370.34,Mumbai
102910,2025-01-02,Customer_1842,Lamp,Home,7,9156.82,1464.38,Aurangabad
101948,2025-01-02,Customer_1121,Jeans,Clothing,4,5841.07,1074.89,Pune
107834,2025-01-02,Customer_1246,Table,Furniture,4,38903.64,4715.58,Aurangabad
100063,2025-01-02,Customer_2272,Backpack,Clothing,1,1454.27,249.97,Nashik
107013,2025-01-02,Customer_0308,Office Chair,Furniture,5,36333.11,4228.12,Nashik
101289,2025-01-02,Customer_0176,T-Shirt,Clothing,6,4808.19,950.29,Nagpur
