Order_ID,Order_Date,Customer_Name,Product,Category,Quantity,Sales,Profit,Region
100000,13-04-2025,Customer_1004,Laptop,Electronics,5.0,255609.78,33684.57, Mumbai 
100001,15-12-2025,Customer_2419,Office Chair,Furniture,2.0,15169.61,2520.89, Nagpur 
100002,28-09-2025,Customer_0896,Laptop,Electronics,2.0,119371.07,14702.84, Mumbai 
100003,17-04-2025,Customer_2233,Monitor,Electronics,4.0,58453.59,4915.82,Nagpur
100004,13-03-2025,Customer_0027,Table,Furniture,5.0,50840.75,6166.44,Mumbai
100005,08-07-2025,Customer_0637,Lamp,Home,5.0,6413.14,405.66,Mumbai
100006,2025/01/21,Customer_1557,T-Shirt,Clothing,2.0,1276.18,176.03,Pune
100007,13-04-2025,Customer_0178,Jacket,Clothing,5.0,15588.66,2250.39,Aurangabad
100008,02-05-2025,Customer_1551,Vacuum Cleaner,Home,2.0,14676.49,2016.66,Pune
100009,03-08-2025,Customer_2365,Backpack,Clothing,6.0,8375.93,663.03,Mumbai
100010,27-11-2025,Customer_1186,Laptop,Electronics,4.0,239975.31,23881.02,Pune
100011,29-03-2025,Customer_1139,Office Chair,Furniture,7.0,58793.9,12095.78,Nagpur
100012,10-04-2025,Customer_1456,Jeans,Clothing,6.0,10876.73,1557.95,Mumbai
100013,26-12-2025,Customer_2188,T-Shirt,Clothing,3.0,2211.57,408.17,aurangabad
100014,01-06-2025,Customer_1555,Desk,Furniture,8.0,85373.22,13331.3,Nashik
100015,11-05-2025,Customer_0939,Bookshelf,Furniture,1.0,5161.74,720.63,Pune
100016,30-05-2025,Customer_0272,Shoes,Clothing,5.0,11205.66,1000.3,Mumbai
100017,2025/11/05,Customer_1621,Jeans,Clothing,8.0,12281.78,1586.68,Aurangabad
100018,15-09-2025,Customer_0572,Cookware,Home,5.0,11406.47,820.22,Mumbai
100019,12/10/2025,Customer_2391,Backpack,Clothing,7.0,9810.85,875.32,Nagpur
100020,21-10-2025,Customer_2088,Jeans,Clothing,3.0,4906.52,794.78, Nagpur 
100021,2025/07/11,Customer_0627,Laptop,Electronics,2.0,111871.41,19927.35,
100022,04-10-2025,Customer_1577,Table,Furniture,2.0,17112.29,3121.57,Nagpur
100023,10-06-2025,Customer_2267,Vacuum Cleaner,Home,5.0,31844.48,4377.65,Pune
100024,10-11-2025,Customer_1394,Monitor,Electronics,5.0,73110.14,4601.36,pune
100025,22-01-2025,Customer_1859,Shoes,Clothing,3.0,7846.49,1247.38,Pune
100026,10-09-2025,Customer_2080,Backpack,Clothing,3.0,3960.41,291.99,Pune
100027,24-08-2025,Customer_0627,Backpack,Clothing,4.0,4912.77,1020.46,Nashik
100028,11-12-2025,Customer_2454,Cabinet,Furniture,1.0,8454.27,679.19,Nashik
100029,2025/02/18,Customer_1487,Mixer,Home,2.0,6699.12,1037.01, Nashik 
100030,28-02-2025,Customer_2324,Office Chair,Furniture,4.0,33020.15,2211.88,Pune
100031,19-06-2025,Customer_2182,Tablet,Electronics,2.0,33155.64,6709.37,MUMBAI
100032,07-07-2025,Customer_1086,Table,Furniture,3.0,23024.24,2123.38,Kolhapur
100033,2025/09/28,Customer_1277,Cookware,Home,4.0,10011.82,1583.31, Nagpur 
100034,09-07-2025,Customer_0496,Shoes,Clothing,8.0,18570.03,1313.25,Mumbai
100035,06/24/2025,Customer_0087,Office Chair,Furniture,6.0,38630.58,3830.58,Kolhapur
100036,20-02-2025,Customer_0030,Cabinet,Furniture,4.0,35662.26,4512.92,Pune
100037,30-12-2025,Customer_0129,Smartphone,Electronics,2.0,,11030.17,Nashik
100038,24-02-2025,Customer_1141,Monitor,Electronics,4.0,54455.08,4933.87,
100039,01-09-2025,Customer_2339,Cookware,Home,3.0,6633.89,1361.89,KOLHAPUR
100040,16-11-2025,Customer_1668,Cookware,Home,8.0,19207.1,1354.73,
100041,11-05-2025,Customer_1452,Laptop,Electronics,7.0,407242.16,61698.65,nagpur
100042,03-11-2025,Customer_0404,Bedsheet,Home,1.0,2020.03,160.79,pune
100043,05/15/2025,Customer_1019,Lamp,Home,2.0,2424.51,486.63,Mumbai
100044,2025/01/21,Customer_0575,Cabinet,Furniture,8.0,62272.46,8538.75, Nagpur 
100045,2025/11/25,Customer_1024,Bookshelf,Furniture,8.0,41814.63,4369.75,Pune
100046,16-06-2025,Customer_0208,Vacuum Cleaner,Home,2.0,12315.58,2601.29,Aurangabad
100047,2025/10/01,Customer_0682,Laptop,Electronics,4.0,205656.05,27504.23,nagpur
100048,30-03-2025,Customer_1643,Bedsheet,Home,4.0,7570.02,650.64,Pune
100049,12-11-2025,Customer_1600,Table,Furniture,1.0,8963.39,1596.97,Nashik
100050,14-01-2025,Customer_2277,Lamp,Home,7.0,9324.48,1493.79,AURANGABAD
100051,30-08-2025,Customer_1216,Cookware,Home,4.0,9246.3,741.6,Mumbai
100052,22-09-2025,Customer_1285,Monitor,Electronics,1.0,15872.26,1289.02,Pune
100053,12-12-2025,Customer_2060,Monitor,Electronics,8.0,121229.01,12410.29,Kolhapur
100054,22-02-2025,Customer_0762,Office Chair,Furniture,2.0,16951.17,2969.74,pune
100055,06-12-2025,Customer_0492,Smartphone,Electronics,7.0,188325.22,17900.21,Kolhapur
100056,02-04-2025,Customer_0336,Cabinet,Furniture,1.0,7863.3,1249.09,Nagpur
100057,21-09-2025,Customer_1287,Jacket,Clothing,4.0,12107.11,927.81,Mumbai
100058,04-02-2025,Customer_1229,Shoes,Clothing,3.0,8540.32,1728.86,Nagpur
100059,25-07-2025,Customer_1878,T-Shirt,Clothing,1.0,651.77,124.91,KOLHAPUR
100060,22-03-2025,Customer_2073,Laptop,Electronics,4.0,221209.38,29617.51,Nashik
100061,19-02-2025,Customer_1001,Bookshelf,Furniture,2.0,11331.96,1733.28, Nashik 
100062,26-12-2025,Customer_2226,Jeans,Clothing,8.0,13682.77,1720.6,Aurangabad
100063,02-01-2025,Customer_2272,Backpack,Clothing,1.0,1454.27,249.97,Nashik
100064,23-02-2025,Customer_0473,Smartphone,Electronics,5.0,132917.07,9080.17,Pune
100065,16-04-2025,Customer_2478,Bookshelf,Furniture,5.0,33237.73,4431.27,Mumbai
100066,17-09-2025,Customer_2071,Jeans,Clothing,5.0,7429.8,733.19,Nagpur
100067,11/06/2025,Customer_1735,T-Shirt,Clothing,2.0,1392.87,281.21,Nashik
100068,07/10/2025,Customer_0536,Laptop,Electronics,6.0,317956.41,57218.2,Aurangabad
100069,06-08-2025,Customer_2260,Jeans,Clothing,8.0,11251.78,1532.14, Aurangabad 
