CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,AvgPurchaseAmount,TotalPurchaseValue,OnlinePurchasePercentage,RecencyDays,PreferredCategory,Location,MembershipLevel,DiscountUsagePercentage,SatisfactionScore
CUST0001,56,Male,41567,69,5,1021.44,5107.2,15,73,Electronics,Pune,Gold,7,6.6
CUST0002,46,Female,58285,50,11,1487.71,16364.81,62,9,Sports,Kolhapur,Silver,31,7.2
CUST0003,32,Female,51591,48,5,983.94,4919.7,63,19,Beauty,Aurangabad,Platinum,8,7.0
CUST0004,60,Male,60887,43,5,1398.04,6990.2,40,24,Beauty,Mumbai,Basic,41,7.7
CUST0005,25,Female,66246,73,15,1226.0,18390.0,37,89,Beauty,Pune,Gold,22,6.4
CUST0006,38,Male,76653,84,16,823.17,13170.72,87,180,Grocery,Pune,Platinum,18,8.6
CUST0007,56,Female,63449,72,17,1157.25,19673.25,66,8,Home & Lifestyle,Nagpur,Silver,31,9.0
CUST0008,36,Female,75703,99,13,1119.38,14551.94,50,39,Grocery,Nashik,Gold,21,6.1
CUST0009,40,Male,66418,65,11,1319.42,14513.62,30,14,Electronics,Kolhapur,Gold,9,7.0
CUST0010,28,Female,21540,57,9,785.5,7069.5,47,1,Home & Lifestyle,Pune,Basic,77,7.9
CUST0011,28,Female,44335,35,10,1400.8,14008.0,94,1,Grocery,Nagpur,Silver,18,6.5
CUST0012,41,Female,61830,56,12,1232.17,14786.04,58,19,Home & Lifestyle,Nagpur,Basic,2,7.9
CUST0013,53,Female,38387,65,9,1171.88,10546.92,43,20,Grocery,Mumbai,Silver,12,8.0
CUST0014,57,Other,78198,85,17,1621.36,27563.12,66,1,Grocery,Nashik,Basic,16,8.8
CUST0015,41,Female,98677,74,17,1731.2,29430.4,37,35,Electronics,Pune,Gold,37,6.3
CUST0016,20,Male,91813,75,18,1419.41,25549.38,98,10,Fashion,Mumbai,Silver,30,5.8
CUST0017,39,Female,60304,35,7,939.55,6576.85,85,25,Electronics,Aurangabad,Silver,31,6.7
CUST0018,19,Male,97796,73,14,903.2,12644.8,55,11,Fashion,Mumbai,Basic,29,5.7
CUST0019,41,Male,68271,82,13,1177.0,15301.0,41,5,Sports,Kolhapur,Platinum,21,8.7
CUST0020,61,Male,57584,71,11,1121.59,12337.49,5,16,Electronics,Nashik,Basic,29,5.5
CUST0021,47,Female,51505,67,8,1304.63,10437.04,22,8,Fashion,Pune,Basic,34,10.0
CUST0022,55,Female,58346,62,9,1169.49,10525.41,26,23,Grocery,Nashik,Basic,48,9.1
CUST0023,19,Female,56460,61,12,1469.76,17637.12,68,7,Grocery,Mumbai,Platinum,30,7.9
CUST0024,38,Male,68749,54,11,1088.35,11971.85,48,21,Electronics,Mumbai,Platinum,33,9.2
CUST0025,50,Male,68533,78,11,1350.49,14855.39,25,5,Beauty,Pune,Silver,32,4.7
CUST0026,29,Male,65067,72,16,1688.4,27014.4,59,33,Beauty,Mumbai,Gold,38,10.0
CUST0027,39,Female,74613,77,14,1484.39,20781.46,66,42,Fashion,Pune,Basic,39,6.3
CUST0028,61,Male,91194,67,6,1373.57,8241.42,67,4,Fashion,Pune,Platinum,30,7.7
CUST0029,42,Male,85890,35,7,1067.09,7469.63,13,19,Sports,Mumbai,Basic,53,4.4
CUST0030,44,Female,32332,69,10,1033.03,10330.3,52,2,Beauty,Mumbai,Basic,25,7.9
CUST0031,59,Female,18000,34,14,784.82,10987.48,25,47,Home & Lifestyle,Aurangabad,Basic,22,5.5
CUST0032,45,Male,85555,58,8,1176.36,9410.88,75,9,Electronics,Mumbai,Silver,7,7.4
CUST0033,33,Male,34929,63,10,1433.49,14334.9,72,22,Grocery,Nagpur,Gold,28,6.4
CUST0034,32,Male,60055,55,9,1183.6,10652.4,35,22,Grocery,Nashik,Basic,7,5.6
CUST0035,64,Female,39258,72,11,850.84,9359.24,38,77,Fashion,Nagpur,Platinum,32,6.7
CUST0036,61,Male,25356,58,9,1688.52,15196.68,45,24,Grocery,Pune,Silver,23,7.5
CUST0037,20,Female,76912,82,18,1504.73,27085.14,15,26,Grocery,Aurangabad,Basic,52,5.3
CUST0038,54,Female,81701,47,13,861.02,11193.26,62,15,Fashion,Nashik,Silver,15,6.1
CUST0039,24,Female,52317,80,15,1194.4,17916.0,59,89,Beauty,Kolhapur,Silver,22,8.2
CUST0040,38,Male,18000,48,13,1129.27,14680.51,76,45,Beauty,Mumbai,Gold,42,10.0
CUST0041,26,Male,52983,52,6,1728.33,10369.98,41,10,Fashion,Pune,Silver,46,7.9
CUST0042,56,Male,73620,71,24,1022.43,24538.32,41,56,Beauty,Nagpur,Silver,15,5.8
CUST0043,35,Female,32464,18,12,1312.2,15746.4,22,37,Electronics,Pune,Basic,38,6.6
CUST0044,21,Male,69034,73,14,1768.95,24765.3,43,53,Beauty,Mumbai,Silver,29,7.2
CUST0045,42,Female,64663,46,12,1039.39,12472.68,29,52,Electronics,Pune,Platinum,31,7.4
CUST0046,31,Male,77744,46,5,1183.98,5919.9,77,6,Electronics,Nashik,Basic,31,8.6
CUST0047,26,Female,67631,38,8,894.0,7152.0,50,36,Home & Lifestyle,Aurangabad,Gold,44,7.5
CUST0048,43,Female,43592,75,14,1219.74,17076.36,58,10,Grocery,Mumbai,Silver,0,8.6
CUST0049,19,Female,91325,65,9,1373.0,12357.0,57,11,Sports,Kolhapur,Basic,29,6.7
CUST0050,37,Female,61512,90,14,1592.43,22294.02,27,11,Fashion,Mumbai,Platinum,32,9.9
CUST0051,45,Male,64399,54,9,1586.25,14276.25,51,39,Fashion,Mumbai,Silver,32,7.0
CUST0052,64,Male,44468,24,11,854.98,9404.78,68,28,Grocery,Aurangabad,Basic,55,5.7
CUST0053,24,Female,55248,40,13,585.55,7612.15,38,1,Grocery,Aurangabad,Basic,53,10.0
CUST0054,61,Male,45534,78,18,1292.23,23260.14,73,38,Fashion,Kolhapur,Basic,31,4.5
CUST0055,25,Female,61195,60,13,1361.65,17701.45,46,6,Home & Lifestyle,Mumbai,Gold,44,6.1
CUST0056,64,Male,102658,71,15,1516.8,22752.0,44,3,Home & Lifestyle,Nashik,Silver,14,6.3
CUST0057,52,Male,34818,54,7,1072.45,7507.15,67,8,Beauty,Pune,Platinum,39,10.0
CUST0058,31,Male,29502,57,11,1203.93,13243.23,40,14,Sports,Mumbai,Basic,62,9.9
CUST0059,34,Female,97366,99,9,1992.73,17934.57,56,19,Fashion,Mumbai,Basic,53,9.4
CUST0060,53,Male,60395,88,18,1497.71,26958.78,48,1,Home & Lifestyle,Kolhapur,Basic,37,6.7
CUST0061,57,Male,50280,51,7,1092.83,7649.81,58,106,Fashion,Aurangabad,Silver,20,10.0
CUST0062,21,Female,87878,51,4,1167.57,4670.28,13,38,Home & Lifestyle,Mumbai,Platinum,2,8.5
CUST0063,19,Female,51676,51,6,1158.07,6948.42,25,12,Grocery,Pune,Gold,30,8.7
CUST0064,23,Male,105172,87,12,2004.54,24054.48,79,12,Sports,Kolhapur,Basic,18,7.5
CUST0065,59,Male,79914,54,3,1250.75,3752.25,78,18,Home & Lifestyle,Pune,Gold,13,7.1
CUST0066,21,Male,54266,42,10,1174.86,11748.6,45,30,Sports,Nashik,Gold,7,6.8
CUST0067,46,Male,112461,92,14,1410.69,19749.66,50,5,Beauty,Pune,Basic,28,6.9
