Date,Customers,Quantity,Average_Price,Promotion,Sales,Profit
2018-01-01,187.0,58,407.79,0,181.91,28.93
2018-01-02,178.0,117,414.52,1,232.05,38.31
2018-01-03,190.0,92,409.29,1,194.57,32.97
2018-01-04,204.0,94,422.05,1,193.35,34.75
2018-01-05,178.0,85,441.63,0,181.44,24.72
2018-01-06,178.0,90,406.22,0,209.73,30.87
2018-01-07,206.0,86,438.13,0,155.22,22.04
2018-01-08,194.0,95,406.07,1,199.04,35.84
2018-01-09,176.0,99,404.9,0,196.53,29.98
2018-01-10,191.0,92,434.91,0,184.91,29.92
2018-01-11,177.0,77,436.79,0,194.61,33.63
2018-01-12,177.0,94,435.55,0,230.27,36.01
2018-01-13,188.0,92,396.56,0,164.73,22.64
2018-01-14,156.0,82,411.87,0,175.55,22.69
2018-01-15,159.0,95,435.09,0,194.24,31.55
2018-01-16,177.0,96,421.05,1,205.89,36.03
2018-01-17,170.0,85,400.99,0,154.75,24.39
2018-01-18,191.0,85,428.59,0,173.71,28.65
2018-01-19,173.0,63,407.49,0,159.57,28.99
2018-01-20,166.0,93,452.68,1,201.79,32.04
2018-01-21,209.0,95,448.21,0,184.21,26.68
2018-01-22,184.0,88,431.29,0,149.81,23.78
2018-01-23,189.0,76,444.94,0,168.06,24.02
2018-01-24,167.0,98,421.63,0,173.44,23.88
2018-01-25,180.0,96,434.26,1,242.21,49.57
2018-01-26,190.0,87,447.1,1,207.74,35.17
2018-01-27,172.0,111,424.94,0,161.19,22.62
2018-01-28,195.0,79,415.95,0,158.26,22.6
2018-01-29,181.0,98,389.88,0,188.2,33.18
2018-01-30,186.0,82,419.08,0,199.83,29.89
2018-01-31,181.0,91,435.42,0,209.33,29.14
2018-02-01,218.0,81,437.64,0,207.23,30.55
2018-02-02,191.0,77,429.72,0,197.55,31.47
2018-02-03,175.0,105,410.92,1,219.07,43.46
2018-02-04,204.0,94,385.1,0,202.77,34.9
2018-02-05,174.0,102,411.79,0,184.29,27.34
2018-02-06,195.0,90,415.24,0,217.93,33.13
2018-02-07,163.0,113,415.11,0,215.61,41.3
2018-02-08,173.0,103,431.89,1,209.67,41.92
2018-02-09,196.0,96,456.52,0,272.91,42.63
2018-02-10,204.0,77,423.02,0,210.78,26.47
2018-02-11,196.0,85,416.92,0,206.46,31.61
2018-02-12,192.0,96,416.17,0,213.72,29.94
2018-02-13,190.0,100,423.1,1,253.33,43.59
2018-02-14,172.0,93,405.97,0,189.86,27.63
2018-02-15,184.0,93,423.06,1,223.76,40.62
