Date,Predicted_Sales
2045-05-19,654.51
2045-05-20,651.12
2045-05-21,647.73
2045-05-22,658.59
2045-05-23,655.18
2045-05-24,651.76
2045-05-25,648.33
2045-05-26,644.9
2045-05-27,641.46
2045-05-28,638.01
2045-05-29,648.82
2045-05-30,645.36
2045-05-31,641.89
2045-06-01,665.7
2045-06-02,662.22
2045-06-03,658.73
2045-06-04,655.24
2045-06-05,666.0
2045-06-06,662.5
2045-06-07,658.99
2045-06-08,655.47
2045-06-09,651.95
2045-06-10,648.43
2045-06-11,644.89
2045-06-12,655.62
2045-06-13,652.08
2045-06-14,648.54
2045-06-15,644.99
2045-06-16,641.44
2045-06-17,637.89
2045-06-18,634.33
2045-06-19,645.03
2045-06-20,641.47
2045-06-21,637.9
2045-06-22,634.33
2045-06-23,630.76
2045-06-24,627.19
2045-06-25,623.61
2045-06-26,634.3
2045-06-27,630.72
2045-06-28,627.14
2045-06-29,623.56
2045-06-30,619.98
2045-07-01,643.52
2045-07-02,639.94
2045-07-03,650.62
2045-07-04,647.03
2045-07-05,643.45
2045-07-06,639.87
2045-07-07,636.28
2045-07-08,632.7
2045-07-09,629.12
2045-07-10,639.8
2045-07-11,636.23
2045-07-12,632.65
2045-07-13,629.07
2045-07-14,625.5
2045-07-15,621.93
2045-07-16,618.36
2045-07-17,629.06
2045-07-18,625.5
2045-07-19,621.94
2045-07-20,618.38
2045-07-21,614.83
2045-07-22,611.28
2045-07-23,607.73
2045-07-24,618.45
2045-07-25,614.91
2045-07-26,611.38
2045-07-27,607.85
2045-07-28,604.32
2045-07-29,600.81
2045-07-30,597.29
2045-07-31,608.04
2045-08-01,631.83
2045-08-02,628.33
2045-08-03,624.84
2045-08-04,621.36
2045-08-05,617.88
2045-08-06,614.4
2045-08-07,625.2
2045-08-08,621.74
2045-08-09,618.29
2045-08-10,614.84
2045-08-11,611.4
2045-08-12,607.97
2045-08-13,604.54
2045-08-14,615.39
2045-08-15,611.98
2045-08-16,608.58
